var_file1,var_file2,type,hash,samples_file1,samples_file2
rdx_h,rdx_h,uint64,b9a528b075737e2f,10,10
rcx_s,rcx_s,uint64,6bff045e3cdfdd5a,10,10
L0x555555556028,L0x555555556028,uint64,76ff5dc2dfc4a855,10,10
rcx,L0x5555555580f8,uint64,9c688b3d92efbd39,10,10
rcx,a43,uint64,9c688b3d92efbd39,10,10
rcx,rcx,uint64,9c688b3d92efbd39,10,10
L0x7fffffffd918,L0x7fffffffd918,uint64,79c317a4b63a72d2,10,10
r14_h,r14_h,uint64,42a97d038bd44156,10,10
L0x555555556090,L0x555555556090,uint64,a4c1c1ee1d783975,10,10
L0x555555558098,a21,uint64,8508d91447cd0b85,10,10
L0x555555558098,L0x555555558098,uint64,8508d91447cd0b85,10,10
L0x5555555580c0,a31,uint64,11fe374ed92d7504,10,10
L0x5555555580c0,L0x5555555580c0,uint64,11fe374ed92d7504,10,10
r14_l,r14_l,uint64,aeaea36ba3db7663,10,10
r13,r13,uint64,b3fdef6557b1248f,10,10
L0x7fffffffd9b0,L0x7fffffffd9b0,uint64,dfd2799bbe56f7ce,10,10
L0x7fffffffd960,L0x7fffffffd960,uint64,85f953a7843c0751,10,10
L0x7fffffffd968,L0x7fffffffd968,uint64,c36496250602f9d0,10,10
A44,A44,uint64,704fa15ebd98c36c,10,10
L0x7fffffffd938,L0x7fffffffd938,uint64,3879dbf18a616038,10,10
L0x555555558050,a02,uint64,98eca1d2293c786b,10,10
L0x555555558050,L0x555555558050,uint64,98eca1d2293c786b,10,10
A24,A24,uint64,224c96569456cebe,10,10
L0x555555558060,a04,uint64,730277102e798064,10,10
L0x555555558060,L0x555555558060,uint64,730277102e798064,10,10
L0x7fffffffd950,L0x7fffffffd950,uint64,81da65e37a8c008a,10,10
L0x555555556060,L0x555555556060,uint64,98a67998b5f11455,10,10
a02,a02,uint64,98eca1d2293c786b,10,10
a02,L0x555555558050,uint64,98eca1d2293c786b,10,10
a22,L0x5555555580a0,uint64,ad3b64b7094d321b,10,10
a22,a22,uint64,ad3b64b7094d321b,10,10
A03,A03,uint64,d8716ffb62c52644,10,10
r9,r9,uint64,59508ce6fb349813,10,10
A04,A04,uint64,aaebe94d9e577afd,10,10
a20,L0x555555558090,uint64,b96ec50108c67c2b,10,10
a20,a20,uint64,b96ec50108c67c2b,10,10
r14,r14,uint64,6f6dd757db9f12f8,10,10
A40,A40,uint64,8a1c965e405f818d,10,10
L0x7fffffffd988,L0x7fffffffd988,uint64,1c7216641400b9e7,10,10
L0x5555555560d0,L0x555555556048,uint64,d363c8a0cbe7ea81,10,10
L0x5555555560d0,L0x5555555560d0,uint64,d363c8a0cbe7ea81,10,10
L0x7fffffffd948,L0x7fffffffd948,uint64,4ef21faf20a06c87,10,10
L0x555555556030,L0x555555556030,uint64,76601e34f39e60d5,10,10
L0x5555555580b8,a30,uint64,a0992625d5fb51d1,10,10
L0x5555555580b8,L0x5555555580b8,uint64,a0992625d5fb51d1,10,10
rbp,a33,uint64,4e886b33f1a07a79,10,10
rbp,L0x5555555580d0,uint64,4e886b33f1a07a79,10,10
rbp,rbp,uint64,4e886b33f1a07a79,10,10
eax,ebx,uint64,4e402030eb90ee2d,10,10
eax,eax,uint64,4e402030eb90ee2d,10,10
rbp_s,rbp_s,uint64,aa82801471446b48,10,10
L0x555555556070,L0x555555556070,uint64,4e29ae3da336a121,10,10
dc,dc,uint1,c0dec1853ed53b9,10,10
a40,L0x5555555580e0,uint64,a55d4dc7a86bfb4b,10,10
a40,a40,uint64,a55d4dc7a86bfb4b,10,10
a43,L0x5555555580f8,uint64,9c688b3d92efbd39,10,10
a43,a43,uint64,9c688b3d92efbd39,10,10
a43,rcx,uint64,9c688b3d92efbd39,10,10
L0x5555555580a0,L0x5555555580a0,uint64,ad3b64b7094d321b,10,10
L0x5555555580a0,a22,uint64,ad3b64b7094d321b,10,10
L0x5555555560a8,L0x5555555560a8,uint64,37b123622fb1c6ed,10,10
r8,L0x7fffffffd9a0,uint64,278a29164df2d0c1,10,10
r8,r8,uint64,278a29164df2d0c1,10,10
L0x555555558058,a03,uint64,bec150c7e64d22cd,10,10
L0x555555558058,L0x555555558058,uint64,bec150c7e64d22cd,10,10
L0x555555558068,a10,uint64,f9186eda7f4d2196,10,10
