var_file1,var_file2,type,hash,samples_file1,samples_file2
rdx_h,rdx_h,uint64,6ccd754ca48d5efe,1,1
rcx_s,rcx_s,uint64,314de0ef7fcbb485,1,1
L0x555555556028,L0x555555556028,uint64,cd10956cb9983c5f,1,1
rcx,L0x5555555580f8,uint64,b26a7ca4b27dc0f0,1,1
rcx,a43,uint64,b26a7ca4b27dc0f0,1,1
rcx,rcx,uint64,b26a7ca4b27dc0f0,1,1
L0x7fffffffd918,L0x7fffffffd918,uint64,e8a87fcca9a0a87b,1,1
r14_h,r14_h,uint64,a373739f190a9af7,1,1
L0x555555556090,L0x555555556090,uint64,5718d4677aff3cad,1,1
L0x555555558098,a21,uint64,5a5d4d22b5823fe,1,1
L0x555555558098,L0x555555558098,uint64,5a5d4d22b5823fe,1,1
L0x5555555580c0,a31,uint64,7065334c76eb9df4,1,1
L0x5555555580c0,L0x5555555580c0,uint64,7065334c76eb9df4,1,1
r14_l,r14_l,uint64,6ad57b84f3576728,1,1
r13,r13,uint64,58eefbc85ebabc87,1,1
L0x7fffffffd9b0,L0x7fffffffd9b0,uint64,48e77f0a54b17fec,1,1
L0x7fffffffd960,L0x7fffffffd960,uint64,3370dd71e3fdc151,1,1
L0x7fffffffd968,L0x7fffffffd968,uint64,9be693fc2b38910c,1,1
A44,A44,uint64,21b28fb61e6df365,1,1
L0x7fffffffd938,L0x7fffffffd938,uint64,e32cf673022c0c4b,1,1
L0x555555558050,a02,uint64,8b22abcaa850254b,1,1
L0x555555558050,L0x555555558050,uint64,8b22abcaa850254b,1,1
A24,A24,uint64,d630cea886c8ddda,1,1
L0x555555558060,a04,uint64,b7cb538f53c38760,1,1
L0x555555558060,L0x555555558060,uint64,b7cb538f53c38760,1,1
L0x7fffffffd950,L0x7fffffffd950,uint64,55b923e23412359d,1,1
L0x555555556060,L0x555555556060,uint64,b50c98dbca7bdd8f,1,1
a02,a02,uint64,8b22abcaa850254b,1,1
a02,L0x555555558050,uint64,8b22abcaa850254b,1,1
a22,L0x5555555580a0,uint64,e099bdefe8462908,1,1
a22,a22,uint64,e099bdefe8462908,1,1
A03,A03,uint64,e4e6a596d6f53e54,1,1
r9,r9,uint64,40baf8cdc5c6ea30,1,1
A04,A04,uint64,873da6500020abe0,1,1
a20,L0x555555558090,uint64,da35781bffc65b36,1,1
a20,a20,uint64,da35781bffc65b36,1,1
r14,r14,uint64,67761468ca6cf16b,1,1
A40,A40,uint64,94e826ca4e4cd8b6,1,1
L0x7fffffffd988,L0x7fffffffd988,uint64,1fb3cbafd0890b4a,1,1
L0x5555555560d0,L0x555555556048,uint64,c81878fa6952b466,1,1
L0x5555555560d0,L0x5555555560d0,uint64,c81878fa6952b466,1,1
L0x7fffffffd948,L0x7fffffffd948,uint64,3dda9b6be03d6b19,1,1
L0x555555556030,L0x555555556030,uint64,4fb92b67772f9b4f,1,1
L0x5555555580b8,a30,uint64,f6e76b11c0949a65,1,1
L0x5555555580b8,L0x5555555580b8,uint64,f6e76b11c0949a65,1,1
rbp,a33,uint64,24d5d8946559a8cb,1,1
rbp,L0x5555555580d0,uint64,24d5d8946559a8cb,1,1
rbp,rbp,uint64,24d5d8946559a8cb,1,1
eax,ebx,uint64,75e0a64ca9cf7bf4,1,1
eax,eax,uint64,75e0a64ca9cf7bf4,1,1
rbp_s,rbp_s,uint64,63644ed09ef86014,1,1
L0x555555556070,L0x555555556070,uint64,fb5156045fd6bd76,1,1
dc,dc,uint1,d91ceef0dac22f47,1,1
a40,L0x5555555580e0,uint64,725f968ce50d976b,1,1
a40,a40,uint64,725f968ce50d976b,1,1
a43,L0x5555555580f8,uint64,b26a7ca4b27dc0f0,1,1
a43,a43,uint64,b26a7ca4b27dc0f0,1,1
a43,rcx,uint64,b26a7ca4b27dc0f0,1,1
L0x5555555580a0,L0x5555555580a0,uint64,e099bdefe8462908,1,1
L0x5555555580a0,a22,uint64,e099bdefe8462908,1,1
L0x5555555560a8,L0x5555555560a8,uint64,70d350f86b903f54,1,1
r8,L0x7fffffffd9a0,uint64,178c8aba2913f9e0,1,1
