var_file1,var_file2,type,hash,samples_file1,samples_file2
v0_07,L0x555555558078,uint64,4c32a97370c3080,1,1
v0_07,a12,uint64,4c32a97370c3080,1,1
KeccakRoundConstants_16,L0x5555555560a0,uint64,7768fd8513e1aff,1,1
v_shr_3_1_i,r12_h,uint64,5aebc379dc964c81,1,1
v_xor_2_i8_3,a32,uint64,33155dcbcbe829c9,1,1
v_xor_2_i8_3,L0x5555555580c8,uint64,33155dcbcbe829c9,1,1
KeccakRoundConstants_00,L0x555555556020,uint64,75dd264ca9cc6c9d,1,1
state_56,L0x555555558078,uint64,4c32a97370c3080,1,1
state_56,a12,uint64,4c32a97370c3080,1,1
v_xor_4_i10_4,L0x555555558100,uint64,8c589150bd601522,1,1
v_xor_4_i10_4,a44,uint64,8c589150bd601522,1,1
v_shr_2_1_i,r14_h,uint64,ebdcf50d21562952,1,1
v_xor_4_i10_2,a24,uint64,7c75ae14a3e05607,1,1
v_xor_4_i10_2,L0x5555555580b0,uint64,7c75ae14a3e05607,1,1
v0_10,L0x555555558090,uint64,10f113e1048dd96,1,1
v0_10,a20,uint64,10f113e1048dd96,1,1
v21,L0x7fffffffd958,uint64,762d52604548192d,1,1
v_xor_2_i8_4,L0x5555555580f0,uint64,ce3c662a42b0c55c,1,1
v_xor_2_i8_4,rdi,uint64,ce3c662a42b0c55c,1,1
v_xor_2_i8_4,a42,uint64,ce3c662a42b0c55c,1,1
KeccakRoundConstants_19,L0x5555555560b8,uint64,7c2d25b61db4e02c,1,1
state_104,a23,uint64,32fbbeb4cd26cb70,1,1
state_104,L0x5555555580a8,uint64,32fbbeb4cd26cb70,1,1
v_shl_2_4_i,rdi_s,uint64,bd7858010b6561bc,1,1
A44,A44,uint64,475ba06ca72a9293,1,1
v_shr_1_3_i,rax_h,uint64,8ce5041b9a387191,1,1
A24,A24,uint64,cd4769541e1d7879,1,1
a02,a02,uint64,380c414c54a64966,1,1
a02,L0x555555558050,uint64,380c414c54a64966,1,1
v_shr_2_4_i,rdi_h,uint64,6ec926363542d6c2,1,1
v24,L0x7fffffffd9d0,uint64,788bcd1af6f22e03,1,1
v0_00,L0x555555558040,uint64,612c8b602b43d4f8,1,1
v0_00,a00,uint64,612c8b602b43d4f8,1,1
v0_06,L0x555555558070,uint64,867c5787d7db7d4d,1,1
v0_06,a11,uint64,867c5787d7db7d4d,1,1
a22,L0x5555555580a0,uint64,fc3d87cdd0448115,1,1
a22,a22,uint64,fc3d87cdd0448115,1,1
A03,A03,uint64,3bef78994909f9bf,1,1
A04,A04,uint64,ab28258cd5f89500,1,1
state_88,a21,uint64,50e15be0a90f01f4,1,1
state_88,L0x555555558098,uint64,50e15be0a90f01f4,1,1
v1,L0x7fffffffd938,uint64,cb44368dcca5130,1,1
a20,L0x555555558090,uint64,10f113e1048dd96,1,1
a20,a20,uint64,10f113e1048dd96,1,1
v0_17,a32,uint64,33155dcbcbe829c9,1,1
v0_17,L0x5555555580c8,uint64,33155dcbcbe829c9,1,1
A40,A40,uint64,a19c6ee5f7e10f05,1,1
v0_21,a41,uint64,6dd474a297fd0fc1,1,1
v0_21,L0x5555555580e8,uint64,6dd474a297fd0fc1,1,1
KeccakRoundConstants_02,L0x555555556030,uint64,4fb92b67772f9b4f,1,1
state_120,a30,uint64,f189a634485b5f92,1,1
state_120,L0x5555555580b8,uint64,f189a634485b5f92,1,1
v_shl_4_2_i,ebx,uint64,75e0a64ca9cf7bf4,1,1
v_shl_4_2_i,eax,uint64,75e0a64ca9cf7bf4,1,1
v8,L0x7fffffffd990,uint64,f5159e6a2b777bad,1,1
v6,L0x7fffffffd940,uint64,32ee6d385d72b06a,1,1
state_128,a31,uint64,1a1fbf543b87509d,1,1
state_128,L0x5555555580c0,uint64,1a1fbf543b87509d,1,1
KeccakRoundConstants_11,L0x555555556078,uint64,cb035a2fa8129cef,1,1
v0_24,L0x555555558100,uint64,8c589150bd601522,1,1
v0_24,a44,uint64,8c589150bd601522,1,1
v_xor_i6_4,L0x5555555580e0,uint64,4daa470c411a9ad2,1,1
v_xor_i6_4,a40,uint64,4daa470c411a9ad2,1,1
state_152,L0x5555555580d8,uint64,d95ce15ce0babe4d,1,1
state_152,a34,uint64,d95ce15ce0babe4d,1,1
state_152,r10,uint64,d95ce15ce0babe4d,1,1
a40,L0x5555555580e0,uint64,4daa470c411a9ad2,1,1
a40,a40,uint64,4daa470c411a9ad2,1,1
a43,L0x5555555580f8,uint64,b8e34421e91a97a6,1,1
a43,a43,uint64,b8e34421e91a97a6,1,1
a43,rcx,uint64,b8e34421e91a97a6,1,1
v_shl_1_3_i,rax_s,uint64,a0a3ddf2699ece9f,1,1
v_neg_2_i_3,r13,uint64,ece1793172244855,1,1
state_80,L0x555555558090,uint64,10f113e1048dd96,1,1
state_80,a20,uint64,10f113e1048dd96,1,1
v_shl_3_1_i,r12_s,uint64,7c0b3810eaa6c670,1,1
v19,L0x7fffffffd9c8,uint64,4a206c3b3f8ec208,1,1
