var_file1,var_file2,type,hash,samples_file1,samples_file2
v_shl_496_i,rbx_s,uint64,b0f864d6225d3f39,1,1
v0_22,L0x5555555580f0,uint64,bcab8762d4920e93,1,1
v0_22,rdi,uint64,bcab8762d4920e93,1,1
v0_22,a42,uint64,bcab8762d4920e93,1,1
state_8,a01,uint64,23242a14796b000b,1,1
state_8,L0x555555558048,uint64,23242a14796b000b,1,1
a12,L0x555555558078,uint64,3a969fb54d28ff05,1,1
a12,a12,uint64,3a969fb54d28ff05,1,1
v0_03,a03,uint64,70e8601f57967b5f,1,1
v0_03,L0x555555558058,uint64,70e8601f57967b5f,1,1
v_xor_1_i7,a01,uint64,23242a14796b000b,1,1
v_xor_1_i7,L0x555555558048,uint64,23242a14796b000b,1,1
discard_2,dc,uint1,d91ceef0dac22f47,1,1
v0_16,a31,uint64,5e498e2e906d68e4,1,1
v0_16,L0x5555555580c0,uint64,5e498e2e906d68e4,1,1
v_xor_3_i9_1,a13,uint64,29e7418b78271afa,1,1
v_xor_3_i9_1,L0x555555558080,uint64,29e7418b78271afa,1,1
a30,a30,uint64,76a3a00faf23a1d7,1,1
a30,L0x5555555580b8,uint64,76a3a00faf23a1d7,1,1
A02,A02,uint64,128733f69c20d436,1,1
v18,L0x7fffffffd9a0,uint64,10954ce729ef2add,1,1
v18,r8,uint64,10954ce729ef2add,1,1
A34,A34,uint64,d44cf4401be6612d,1,1
v_xor_1_i7_2,a21,uint64,7405cb84b1e0a91e,1,1
v_xor_1_i7_2,L0x555555558098,uint64,7405cb84b1e0a91e,1,1
KeccakRoundConstants_07,L0x555555556058,uint64,48c2ea3127f0bf6,1,1
v_xor_3_i9_3,a33,uint64,c08f73a774415563,1,1
v_xor_3_i9_3,L0x5555555580d0,uint64,c08f73a774415563,1,1
v_xor_3_i9_3,rbp,uint64,c08f73a774415563,1,1
a23,a23,uint64,5ed3f8a07ee23aa9,1,1
a23,L0x5555555580a8,uint64,5ed3f8a07ee23aa9,1,1
v_xor_2_1110_i,r14,uint64,ee43951139f1be1,1,1
A41,A41,uint64,de00d00379b5bdce,1,1
state_48,L0x555555558070,uint64,4f087f4061f00fc4,1,1
state_48,a11,uint64,4f087f4061f00fc4,1,1
v_xor_i6_2,L0x555555558090,uint64,e44bcf2dafe064f2,1,1
v_xor_i6_2,a20,uint64,e44bcf2dafe064f2,1,1
state_144,a33,uint64,c08f73a774415563,1,1
state_144,L0x5555555580d0,uint64,c08f73a774415563,1,1
state_144,rbp,uint64,c08f73a774415563,1,1
v2,L0x7fffffffd960,uint64,abf5caacc9a8dd64,1,1
v_xor_2_i8,a02,uint64,d59746d520a3b596,1,1
v_xor_2_i8,L0x555555558050,uint64,d59746d520a3b596,1,1
A11,A11,uint64,d34358e569004e36,1,1
KeccakRoundConstants_21,L0x5555555560c8,uint64,486dd65d51d96507,1,1
A14,A14,uint64,86742da3dbe5f43,1,1
v0_04,a04,uint64,d7c24bf0b03d2637,1,1
v0_04,L0x555555558060,uint64,d7c24bf0b03d2637,1,1
v9,L0x7fffffffd9b8,uint64,3322311f660f37a5,1,1
KeccakRoundConstants_04,L0x555555556040,uint64,d18265377ea5ccf5,1,1
v_xor_4_1112_i,rdx,uint64,bb4cf2d5e1c4d101,1,1
KeccakRoundConstants_06,L0x5555555560c0,uint64,df5e170b7181c0bd,1,1
KeccakRoundConstants_06,L0x555555556050,uint64,df5e170b7181c0bd,1,1
v_xor_4_i10_1,L0x555555558088,uint64,590d44adf4f7def7,1,1
v_xor_4_i10_1,a14,uint64,590d44adf4f7def7,1,1
v_shl_274_i,ebx,uint64,75e0a64ca9cf7bf4,1,1
v_shl_274_i,eax,uint64,75e0a64ca9cf7bf4,1,1
state_0,L0x555555558040,uint64,1a7d01e2bef364c0,1,1
state_0,a00,uint64,1a7d01e2bef364c0,1,1
KeccakRoundConstants_14,L0x555555556090,uint64,5718d4677aff3cad,1,1
a21,a21,uint64,7405cb84b1e0a91e,1,1
a21,L0x555555558098,uint64,7405cb84b1e0a91e,1,1
v0_13,a23,uint64,5ed3f8a07ee23aa9,1,1
v0_13,L0x5555555580a8,uint64,5ed3f8a07ee23aa9,1,1
v7,L0x7fffffffd968,uint64,b5423566ce97d621,1,1
A12,A12,uint64,9c4c8bc38b772186,1,1
v_xor_3_i9_4,L0x5555555580f8,uint64,36a87d7e294c967b,1,1
v_xor_3_i9_4,a43,uint64,36a87d7e294c967b,1,1
v_xor_3_i9_4,rcx,uint64,36a87d7e294c967b,1,1
KeccakRoundConstants_03,L0x555555556038,uint64,3fde9fac21ed6b67,1,1
v_xor_4_i10_3,L0x5555555580d8,uint64,85d2c7b9cc3e2ba0,1,1
v_xor_4_i10_3,a34,uint64,85d2c7b9cc3e2ba0,1,1
v_xor_4_i10_3,r10,uint64,85d2c7b9cc3e2ba0,1,1
