var_file1,var_file2,type,hash,samples_file1,samples_file2
A14,A14,uint64,7f07b74bddfdcf86,100,100
v0_04,a04,uint64,955ed06ebabb4c5,100,100
v0_04,L0x555555558060,uint64,955ed06ebabb4c5,100,100
v9,L0x7fffffffd9b8,uint64,84d99a5d5ac01c06,100,100
KeccakRoundConstants_04,L0x555555556040,uint64,2da047dc25e65165,100,100
v_xor_4_1112_i,rdx,uint64,e55a274092e1eee2,100,100
KeccakRoundConstants_06,L0x5555555560c0,uint64,a3d20f44a6111b05,100,100
KeccakRoundConstants_06,L0x555555556050,uint64,a3d20f44a6111b05,100,100
v_xor_4_i10_1,L0x555555558088,uint64,681c13e930d59c84,100,100
v_xor_4_i10_1,a14,uint64,681c13e930d59c84,100,100
state_0,L0x555555558040,uint64,339ed4e81361abb6,100,100
state_0,a00,uint64,339ed4e81361abb6,100,100
KeccakRoundConstants_14,L0x555555556090,uint64,a7e3ff1c4cb31245,100,100
a21,a21,uint64,9dabd82ed1575a9a,100,100
a21,L0x555555558098,uint64,9dabd82ed1575a9a,100,100
v0_13,a23,uint64,74b35a62f8ea76a3,100,100
v0_13,L0x5555555580a8,uint64,74b35a62f8ea76a3,100,100
v7,L0x7fffffffd968,uint64,273d046a05fbe95,100,100
A12,A12,uint64,5dcd2ff5981cf34e,100,100
v_xor_3_i9_4,L0x5555555580f8,uint64,978a98c00e322393,100,100
v_xor_3_i9_4,a43,uint64,978a98c00e322393,100,100
v_xor_3_i9_4,rcx,uint64,978a98c00e322393,100,100
KeccakRoundConstants_03,L0x555555556038,uint64,7820e6b57388b965,100,100
v_xor_4_i10_3,L0x5555555580d8,uint64,fb7367a80ae809bb,100,100
v_xor_4_i10_3,a34,uint64,fb7367a80ae809bb,100,100
v_xor_4_i10_3,r10,uint64,fb7367a80ae809bb,100,100
a42,L0x5555555580f0,uint64,72a667489f15e26e,100,100
a42,rdi,uint64,72a667489f15e26e,100,100
a42,a42,uint64,72a667489f15e26e,100,100
v17,L0x7fffffffd978,uint64,1690d0dd3fc4cbb7,100,100
state_160,L0x5555555580e0,uint64,8d1adfd9a907d5bc,100,100
state_160,a40,uint64,8d1adfd9a907d5bc,100,100
v0_08,a13,uint64,172ae9bb3fd58ff3,100,100
v0_08,L0x555555558080,uint64,172ae9bb3fd58ff3,100,100
v_xor_3_i9_2,a23,uint64,74b35a62f8ea76a3,100,100
v_xor_3_i9_2,L0x5555555580a8,uint64,74b35a62f8ea76a3,100,100
A20,A20,uint64,81fae502fb1a9a49,100,100
v_shr_4_1_i,rdx_h,uint64,53d17a6b51d2f6f3,100,100
v11,L0x7fffffffd948,uint64,83daafab21b440ea,100,100
A22,A22,uint64,eb998e4c285d9ac0,100,100
v0_11,a21,uint64,9dabd82ed1575a9a,100,100
v0_11,L0x555555558098,uint64,9dabd82ed1575a9a,100,100
v0_01,a01,uint64,bbb0ee087702046c,100,100
v0_01,L0x555555558048,uint64,bbb0ee087702046c,100,100
a44,L0x555555558100,uint64,aded405ba208d2be,100,100
a44,a44,uint64,aded405ba208d2be,100,100
v0_20,L0x5555555580e0,uint64,8d1adfd9a907d5bc,100,100
v0_20,a40,uint64,8d1adfd9a907d5bc,100,100
KeccakRoundConstants_10,L0x555555556070,uint64,fe4dffd36a8d22bd,100,100
a14,L0x555555558088,uint64,681c13e930d59c84,100,100
a14,a14,uint64,681c13e930d59c84,100,100
v0_23,L0x5555555580f8,uint64,978a98c00e322393,100,100
v0_23,a43,uint64,978a98c00e322393,100,100
v0_23,rcx,uint64,978a98c00e322393,100,100
A31,A31,uint64,6b5e8b02f812a272,100,100
v0_15,a30,uint64,39e8be744b45c77d,100,100
v0_15,L0x5555555580b8,uint64,39e8be744b45c77d,100,100
KeccakRoundConstants_08,L0x555555556060,uint64,d24c1515257d1f05,100,100
v_neg_3_i_3,r11,uint64,c9c086949c8bbfd2,100,100
KeccakRoundConstants_17,L0x5555555560a8,uint64,e1e63c9b7f3d23d5,100,100
a13,a13,uint64,172ae9bb3fd58ff3,100,100
a13,L0x555555558080,uint64,172ae9bb3fd58ff3,100,100
A42,A42,uint64,aeba1c11d6b6063,100,100
a00,L0x555555558040,uint64,339ed4e81361abb6,100,100
a00,a00,uint64,339ed4e81361abb6,100,100
KeccakRoundConstants_01,L0x555555556028,uint64,b24b32a0413da205,100,100
v_xor_4_i10,a04,uint64,955ed06ebabb4c5,100,100
v_xor_4_i10,L0x555555558060,uint64,955ed06ebabb4c5,100,100
v26,rdx,uint64,e55a274092e1eee2,100,100
state_112,a24,uint64,c0e889935d3d1987,100,100
state_112,L0x5555555580b0,uint64,c0e889935d3d1987,100,100
v_xor_1_i7_1,L0x555555558070,uint64,5571b0a46b65159a,100,100
v_xor_1_i7_1,a11,uint64,5571b0a46b65159a,100,100
v_xor_2_i8_1,L0x555555558078,uint64,4c46ea19876fd86b,100,100
v_xor_2_i8_1,a12,uint64,4c46ea19876fd86b,100,100
A43,A43,uint64,539d50d81a172f14,100,100
state_32,a04,uint64,955ed06ebabb4c5,100,100
state_32,L0x555555558060,uint64,955ed06ebabb4c5,100,100
A10,A10,uint64,3ff9058dc9f80081,100,100
A21,A21,uint64,d514498ae1af6512,100,100
A33,A33,uint64,a655584a7c950935,100,100
state_176,L0x5555555580f0,uint64,72a667489f15e26e,100,100
state_176,rdi,uint64,72a667489f15e26e,100,100
state_176,a42,uint64,72a667489f15e26e,100,100
v_shl_2_1_i,r14_s,uint64,acc42593ebe6b1,100,100
v23,L0x7fffffffd9a8,uint64,f15ec0cb81450f27,100,100
v_xor_2_i8_2,L0x5555555580a0,uint64,f61bd2605b6ac86e,100,100
v_xor_2_i8_2,a22,uint64,f61bd2605b6ac86e,100,100
a11,L0x555555558070,uint64,5571b0a46b65159a,100,100
a11,a11,uint64,5571b0a46b65159a,100,100
v_xor_i6_3,a30,uint64,39e8be744b45c77d,100,100
v_xor_i6_3,L0x5555555580b8,uint64,39e8be744b45c77d,100,100
KeccakRoundConstants_22,L0x555555556048,uint64,8c7c20be592fa27d,100,100
KeccakRoundConstants_22,L0x5555555560d0,uint64,8c7c20be592fa27d,100,100
a10,a10,uint64,a991bfa31b35fd76,100,100
a10,L0x555555558068,uint64,a991bfa31b35fd76,100,100
a04,a04,uint64,955ed06ebabb4c5,100,100
a04,L0x555555558060,uint64,955ed06ebabb4c5,100,100
v0_19,L0x5555555580d8,uint64,fb7367a80ae809bb,100,100
v0_19,a34,uint64,fb7367a80ae809bb,100,100
v0_19,r10,uint64,fb7367a80ae809bb,100,100
KeccakRoundConstants_09,L0x555555556068,uint64,6a7b3f315920a0d5,100,100
v0_14,a24,uint64,c0e889935d3d1987,100,100
v0_14,L0x5555555580b0,uint64,c0e889935d3d1987,100,100
v27,L0x5555555560d8,uint64,3436615ee21dea55,100,100
v_shr_499_i,rbx_h,uint64,f70a4ad3cc89220f,100,100
KeccakRoundConstants_13,L0x555555556088,uint64,88356125b80ca865,100,100
KeccakRoundConstants_20,L0x5555555560c0,uint64,a3d20f44a6111b05,100,100
KeccakRoundConstants_20,L0x555555556050,uint64,a3d20f44a6111b05,100,100
arrayidx_i_0,L0x5555555560d8,uint64,3436615ee21dea55,100,100
state_16,a02,uint64,9ae44da3013a98fc,100,100
state_16,L0x555555558050,uint64,9ae44da3013a98fc,100,100
a34,L0x5555555580d8,uint64,fb7367a80ae809bb,100,100
a34,a34,uint64,fb7367a80ae809bb,100,100
a34,r10,uint64,fb7367a80ae809bb,100,100
a24,a24,uint64,c0e889935d3d1987,100,100
a24,L0x5555555580b0,uint64,c0e889935d3d1987,100,100
state_40,a10,uint64,a991bfa31b35fd76,100,100
state_40,L0x555555558068,uint64,a991bfa31b35fd76,100,100
v_xor_i6_1,a10,uint64,a991bfa31b35fd76,100,100
v_xor_i6_1,L0x555555558068,uint64,a991bfa31b35fd76,100,100
state_136,a32,uint64,b50680817b895fba,100,100
