var_file1,var_file2,type,hash,samples_file1,samples_file2
v0_07,L0x555555558078,uint64,7ecc4f6147c2ce82,10,10
v0_07,a12,uint64,7ecc4f6147c2ce82,10,10
KeccakRoundConstants_16,L0x5555555560a0,uint64,19f83178bb98d555,10,10
v_shr_3_1_i,r12_h,uint64,1dcbafcc607c0fa3,10,10
v_xor_2_i8_3,a32,uint64,aea569db4c2ec53b,10,10
v_xor_2_i8_3,L0x5555555580c8,uint64,aea569db4c2ec53b,10,10
KeccakRoundConstants_00,L0x555555556020,uint64,e705337dd4481915,10,10
state_56,L0x555555558078,uint64,7ecc4f6147c2ce82,10,10
state_56,a12,uint64,7ecc4f6147c2ce82,10,10
v_xor_4_i10_4,L0x555555558100,uint64,24f970f01a59916b,10,10
v_xor_4_i10_4,a44,uint64,24f970f01a59916b,10,10
v_shr_2_1_i,r14_h,uint64,96e9ac80b855ed15,10,10
v_xor_4_i10_2,a24,uint64,9fa69d0eaeb1b4f8,10,10
v_xor_4_i10_2,L0x5555555580b0,uint64,9fa69d0eaeb1b4f8,10,10
v0_10,L0x555555558090,uint64,238a85ebb04abf0d,10,10
v0_10,a20,uint64,238a85ebb04abf0d,10,10
v21,L0x7fffffffd958,uint64,2305b6fecf20959f,10,10
v_xor_2_i8_4,L0x5555555580f0,uint64,4e4c24ac53c83700,10,10
v_xor_2_i8_4,rdi,uint64,4e4c24ac53c83700,10,10
v_xor_2_i8_4,a42,uint64,4e4c24ac53c83700,10,10
KeccakRoundConstants_19,L0x5555555560b8,uint64,fd1775067dde6f6d,10,10
state_104,a23,uint64,e7682092f9e03c0,10,10
state_104,L0x5555555580a8,uint64,e7682092f9e03c0,10,10
v_shl_2_4_i,rdi_s,uint64,5ae17485c2302169,10,10
A44,A44,uint64,3d285bce9e144321,10,10
v_shr_1_3_i,rax_h,uint64,8e8c266d170ef300,10,10
A24,A24,uint64,d38828c3eeb612d0,10,10
a02,a02,uint64,e4577ddb5c45bb66,10,10
a02,L0x555555558050,uint64,e4577ddb5c45bb66,10,10
